url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate,status,scrape_time
https://www.myschool.edu.au/school/44003,44003,A.G.B.U. Alexander Primary School,Non-government,Primary,"Duffys Forest, NSW",72,K-6,Major Cities,http://www.alexander.nsw.edu.au,2024.0,958.0,28,57.0,26.0,12.0,4.0,2024,426.0,#ededed,443.0,#ededed,442.0,#ededed,408.0,#ededed,406.0,#ededed,531.0,#ededed,560.0,#ededed,562.0,#ededed,564.0,#ededed,565.0,#ededed,,,,,,,,,,,,,,,,,,,,,100,2024.0,93.0,94.0,OK,18.0
https://www.myschool.edu.au/school/44370,44370,Abbotsford Primary School,Government,Primary,"Abbotsford, VIC",166,Prep-6,Major Cities,http://www.abbotsfordps.vic.edu.au,2024.0,1139.0,93,8.0,9.0,22.0,60.0,2024,455.0,#52cead,451.0,#52cead,439.0,#b6f9cc,446.0,#b6f9cc,443.0,#52cead,545.0,#52cead,513.0,#b6f9cc,502.0,#ffffff,537.0,#b6f9cc,544.0,#52cead,,,,,,,,,,,,,,,,,,,,,92,2024.0,90.0,69.0,OK,15.43
https://www.myschool.edu.au/school/40987,40987,Abbotsford Public School,Government,Primary,"Abbotsford, NSW",394,K-6,Major Cities,https://abbotsford-p.schools.nsw.gov.au,2024.0,1111.0,87,6.0,18.0,30.0,46.0,2024,420.0,#ffffff,427.0,#ffffff,410.0,#ffffff,416.0,#ffffff,417.0,#ffffff,518.0,#b6f9cc,513.0,#b6f9cc,494.0,#ffffff,521.0,#b6f9cc,525.0,#b6f9cc,,,,,,,,,,,,,,,,,,,,,100,2024.0,92.0,73.0,OK,14.87
https://www.myschool.edu.au/school/43762,43762,Abbotsleigh,Non-government,Combined,"Wahroonga, NSW",1619,K-12,Major Cities,http://www.abbotsleigh.nsw.edu.au,2024.0,1217.0,99,0.0,3.0,13.0,83.0,2024,508.0,#52cead,512.0,#52cead,496.0,#52cead,537.0,#52cead,499.0,#52cead,592.0,#52cead,593.0,#52cead,581.0,#52cead,615.0,#52cead,598.0,#52cead,632.0,#52cead,642.0,#52cead,622.0,#52cead,647.0,#52cead,654.0,#52cead,662.0,#52cead,687.0,#52cead,649.0,#52cead,684.0,#52cead,698.0,#52cead,100,2024.0,95.0,88.0,OK,14.54
https://www.myschool.edu.au/school/46801,46801,Abercorn State School,Government,Primary,"Abercorn, QLD",30,Prep-6,Outer Regional,https://abercornss.eq.edu.au,2024.0,1001.0,47,25.0,40.0,29.0,6.0,2024,353.0,#ededed,396.0,#ededed,386.0,#ededed,387.0,#ededed,398.0,#ededed,,#ededed,,#ededed,,#ededed,,#ededed,,#ededed,,,,,,,,,,,,,,,,,,,,,100,2024.0,89.0,48.0,OK,14.24
https://www.myschool.edu.au/school/41852,41852,Aberdeen Public School,Government,Primary,"Aberdeen, NSW",162,K-6,Inner Regional,https://aberdeen-p.schools.nsw.gov.au,2024.0,901.0,11,63.0,30.0,6.0,1.0,2024,348.0,#f26469,396.0,#fccccc,331.0,#f26469,330.0,#f26469,382.0,#fccccc,458.0,#fccccc,461.0,#fccccc,449.0,#fccccc,464.0,#fccccc,467.0,#fccccc,,,,,,,,,,,,,,,,,,,,,100,2024.0,88.0,53.0,OK,14.79
https://www.myschool.edu.au/school/44727,44727,Aberfeldie Primary School,Government,Primary,"Essendon, VIC",380,Prep-6,Major Cities,http://www.aberfeldieps.vic.edu.au/,2024.0,1113.0,88,6.0,19.0,31.0,44.0,2024,408.0,#ffffff,424.0,#ffffff,407.0,#ffffff,411.0,#ffffff,424.0,#b6f9cc,523.0,#b6f9cc,507.0,#b6f9cc,483.0,#ffffff,506.0,#ffffff,507.0,#b6f9cc,,,,,,,,,,,,,,,,,,,,,96,2024.0,91.0,70.0,OK,15.18
https://www.myschool.edu.au/school/49663,49663,Aberfoyle Park High School,Government,Secondary,"Aberfoyle Park, SA",995,07-Dec,Major Cities,http://www.aphs.sa.edu.au,2024.0,1032.0,61,23.0,32.0,28.0,16.0,2024,,,,,,,,,,,,,,,,,,,,,553.0,#b6f9cc,547.0,#ffffff,561.0,#b6f9cc,557.0,#b6f9cc,559.0,#b6f9cc,569.0,#ffffff,550.0,#fccccc,568.0,#ffffff,559.0,#ffffff,552.0,#ffffff,93,2024.0,86.0,52.0,OK,14.5
https://www.myschool.edu.au/school/41853,41853,Abermain Public School,Government,Primary,"Abermain, NSW",256,K-6,Major Cities,https://abermain-p.schools.nsw.gov.au,2024.0,914.0,14,66.0,25.0,9.0,1.0,2024,387.0,#ffffff,395.0,#ededed,365.0,#fccccc,378.0,#fccccc,389.0,#fccccc,468.0,#fccccc,481.0,#ffffff,464.0,#fccccc,474.0,#fccccc,465.0,#fccccc,,,,,,,,,,,,,,,,,,,,,95,2024.0,89.0,55.0,OK,15.88
https://www.myschool.edu.au/school/48059,48059,Aboriginal &amp; Islander Independent Community School,Non-government,Combined,"Acacia Ridge, QLD",264,Prep-12,Major Cities,http://www.murrischool.qld.edu.au/,2024.0,708.0,1,85.0,10.0,4.0,1.0,2024,316.0,#ededed,353.0,#ededed,328.0,#ededed,320.0,#ededed,321.0,#ededed,381.0,#f26469,369.0,#ededed,377.0,#f26469,379.0,#f26469,375.0,#f26469,405.0,#f26469,395.0,#f26469,436.0,#f26469,404.0,#f26469,418.0,#f26469,469.0,#f26469,452.0,#f26469,504.0,#f26469,409.0,#f26469,444.0,#f26469,89,2024.0,78.0,32.0,OK,11.98
