Site Name,Listing URL,Base URL,Contact Name,Contact Number,to_scrape,Scraper,Mode,Status,Count
Benchmark Business Brokers,https://benchmarksa.com/businesses-for-sale/,https://benchmarksa.com,Benchmark Business Brokers,,False,,,skipped,0
Carpenter Hawke & Co.,https://carpenterhawke.com/business-opportunities/,https://carpenterhawke.com,Carpenter Hawke & Co.,,False,,,skipped,0
Miami Business Brokers,https://miabusinessbrokers.com/businesses-for-sale/,https://miabusinessbrokers.com,Miami Business Brokers,,False,,,skipped,0
Performance Business Brokers,https://www.performancebusinessbrokers.ca/business-for-sale/,https://www.performancebusinessbrokers.ca,Performance Business Brokers,,False,,,skipped,0
Troy Business Advisors,https://www.troyba.com/buy-a-business/,https://www.troyba.com,Troy Business Advisors,,False,,,skipped,0
Austin Business Brokers,https://abbtx.com/listings,https://abbtx.com,Austin Business Brokers,(+1) 512-800-7085,False,,XML,skipped,0
Bridgepoint Business Brokers,http://www.yourbridgepoint.ca/for-sale,https://www.yourbridgepoint.ca,Travis Kellett,(+1) 306-979-8750,False,,BSPAGE,skipped,0
California Equity Advisors,http://ca-equity.com/businesses-for-sale/,https://ca-equity.com,California Equity Advisors,(+1) 408-898-0393,False,,BSPAGE,skipped,0
Jackim Woods & Co.,https://www.jackimwoods.com/active-engagements/,https://www.jackimwoods.com,Jackim Woods & Co.,,False,,,skipped,0
Metro Business Advisors,https://metrobusinessadvisors.com/premier-business-brokers/business-for-sale/,https://metrobusinessadvisors.com,Metro Business Advisors,,False,,,skipped,0
Pacific Rim Business Consultants,http://www.pacificrimbusinessconsultants.com/hawaii-businesses-for-sale.html,https://www.pacificrimbusinessconsultants.com,Pacific Rim Business Consultants,,False,,,skipped,0
Wescap Capital,http://wescap.ca/Business-Lisitngs.html,https://wescap.ca,Wescap Capital,,False,,,skipped,0
Basso Associates,http://www.bassoassociates.com/listings.htm,https://www.bassoassociates.com,Basso Associates,,False,,,skipped,0
Aprio,https://www.aprio.com/services/business-acquisitions-by-aprio/view-business-listings/,https://www.aprio.com,Aprio,,False,,,skipped,0
