url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate,attendance_status,status,scrape_time,Column1,_1,_2,_3,_4,_5
https://www.myschool.edu.au/school/48096,48096,A B Paterson College,Non-government,Combined,"Arundel, QLD",1628,Prep-12,Major Cities,https://www.abpat.qld.edu.au/,2024,1121,89,3,15,36,46,2024,465,#52cead,457,#52cead,450,#52cead,478,#52cead,457,#52cead,548,#52cead,535,#52cead,533,#52cead,543,#52cead,548,#52cead,578,#52cead,603,#52cead,577,#b6f9cc,578,#b6f9cc,594,#52cead,606,#52cead,650,#52cead,596,#b6f9cc,614,#52cead,624,#52cead,99,2024,94,81,,OK,21.33,,,,,,
https://www.myschool.edu.au/school/44003,44003,A.G.B.U. Alexander Primary School,Non-government,Primary,"Duffys Forest, NSW",72,K-6,Major Cities,http://www.alexander.nsw.edu.au,2024,958,28,57,26,12,4,2024,426,#ededed,443,#ededed,442,#ededed,408,#ededed,406,#ededed,531,#ededed,560,#ededed,562,#ededed,564,#ededed,565,#ededed,,,,,,,,,,,,,,,,,,,,,100,2024,93,94,,OK,18,,,,,,
https://www.myschool.edu.au/school/44370,44370,Abbotsford Primary School,Government,Primary,"Abbotsford, VIC",166,Prep-6,Major Cities,http://www.abbotsfordps.vic.edu.au,2024,1139,93,8,9,22,60,2024,455,#52cead,451,#52cead,439,#b6f9cc,446,#b6f9cc,443,#52cead,545,#52cead,513,#b6f9cc,502,#ffffff,537,#b6f9cc,544,#52cead,,,,,,,,,,,,,,,,,,,,,92,2024,90,69,,OK,15.43,,,,,,
https://www.myschool.edu.au/school/40987,40987,Abbotsford Public School,Government,Primary,"Abbotsford, NSW",394,K-6,Major Cities,https://abbotsford-p.schools.nsw.gov.au,2024,1111,87,6,18,30,46,2024,420,#ffffff,427,#ffffff,410,#ffffff,416,#ffffff,417,#ffffff,518,#b6f9cc,513,#b6f9cc,494,#ffffff,521,#b6f9cc,525,#b6f9cc,,,,,,,,,,,,,,,,,,,,,100,2024,92,73,,OK,14.87,,,,,,
https://www.myschool.edu.au/school/43762,43762,Abbotsleigh,Non-government,Combined,"Wahroonga, NSW",1619,K-12,Major Cities,http://www.abbotsleigh.nsw.edu.au,2024,1217,99,0,3,13,83,2024,508,#52cead,512,#52cead,496,#52cead,537,#52cead,499,#52cead,592,#52cead,593,#52cead,581,#52cead,615,#52cead,598,#52cead,632,#52cead,642,#52cead,622,#52cead,647,#52cead,654,#52cead,662,#52cead,687,#52cead,649,#52cead,684,#52cead,698,#52cead,100,2024,95,88,,OK,14.54,,,,,,
https://www.myschool.edu.au/school/46801,46801,Abercorn State School,Government,Primary,"Abercorn, QLD",30,Prep-6,Outer Regional,https://abercornss.eq.edu.au,2024,1001,47,25,40,29,6,2024,353,#ededed,396,#ededed,386,#ededed,387,#ededed,398,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,N/A,#ededed,,,,,,,,,,,,,,,,,,,,,100,2024,89,48,,OK,14.24,,,,,,
https://www.myschool.edu.au/school/41852,41852,Aberdeen Public School,Government,Primary,"Aberdeen, NSW",162,K-6,Inner Regional,https://aberdeen-p.schools.nsw.gov.au,2024,901,11,63,30,6,1,2024,348,#f26469,396,#fccccc,331,#f26469,330,#f26469,382,#fccccc,458,#fccccc,461,#fccccc,449,#fccccc,464,#fccccc,467,#fccccc,,,,,,,,,,,,,,,,,,,,,100,2024,88,53,,OK,14.79,,,,,,
https://www.myschool.edu.au/school/44727,44727,Aberfeldie Primary School,Government,Primary,"Essendon, VIC",380,Prep-6,Major Cities,http://www.aberfeldieps.vic.edu.au/,2024,1113,88,6,19,31,44,2024,408,#ffffff,424,#ffffff,407,#ffffff,411,#ffffff,424,#b6f9cc,523,#b6f9cc,507,#b6f9cc,483,#ffffff,506,#ffffff,507,#b6f9cc,,,,,,,,,,,,,,,,,,,,,96,2024,91,70,,OK,15.18,,,,,,
https://www.myschool.edu.au/school/49360,49360,Aberfoyle Hub Primary School,Government,Primary,"Aberfoyle Park, SA",257,"U, R-6",Major Cities,http://www.ahs.sa.edu.au/,2024,1027,59,26,31,29,15,2024,393,#ffffff,412,#ffffff,411,#ffffff,423,#ffffff,401,#ffffff,486,#ffffff,492,#ffffff,516,#b6f9cc,519,#b6f9cc,494,#ffffff,,,,,,,,,,,,,,,,,,,,,90,2024,89,64,,OK,16.85,,,,,,
https://www.myschool.edu.au/school/49663,49663,Aberfoyle Park High School,Government,Secondary,"Aberfoyle Park, SA",995,7-12,Major Cities,http://www.aphs.sa.edu.au,2024,1032,61,23,32,28,16,2024,,,,,,,,,,,,,,,,,,,,,553,#b6f9cc,547,#ffffff,561,#b6f9cc,557,#b6f9cc,559,#b6f9cc,569,#ffffff,550,#fccccc,568,#ffffff,559,#ffffff,552,#ffffff,93,2024,86,52,,OK,14.5,,,,,,
https://www.myschool.edu.au/school/47089,47089,Abergowrie State School,Government,Primary,"Abergowrie, QLD",7,Prep-6,Remote,https://abergowriess.eq.edu.au,2024,958,28,36,15,32,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,2024,87,50,,NAPLAN Data not found,22.47,,,,,,
https://www.myschool.edu.au/school/41853,41853,Abermain Public School,Government,Primary,"Abermain, NSW",256,K-6,Major Cities,https://abermain-p.schools.nsw.gov.au,2024,914,14,66,25,9,1,2024,387,#ffffff,395,#ededed,365,#fccccc,378,#fccccc,389,#fccccc,468,#fccccc,481,#ffffff,464,#fccccc,474,#fccccc,465,#fccccc,,,,,,,,,,,,,,,,,,,,,95,2024,89,55,,OK,15.88,,,,,,
https://www.myschool.edu.au/school/48059,48059,Aboriginal &amp; Islander Independent Community School,Non-government,Combined,"Acacia Ridge, QLD",264,Prep-12,Major Cities,http://www.murrischool.qld.edu.au/,2024,708,1,85,10,4,1,2024,316,#ededed,353,#ededed,328,#ededed,320,#ededed,321,#ededed,381,#f26469,369,#ededed,377,#f26469,379,#f26469,375,#f26469,405,#f26469,395,#f26469,436,#f26469,404,#f26469,418,#f26469,469,#f26469,452,#f26469,504,#f26469,409,#f26469,444,#f26469,89,2024,78,32,,OK,11.98,,,,,,
