complete,url,id,school,sector,type,state,students,year_range,location,website,profile_year,icsea_value,icsea_percentile,icsea_quartile_1,icsea_quartile_2,icsea_quartile_3,icsea_quartile_4,results_year,year_3_reading,year_3_reading_color,year_3_writing,year_3_writing_color,year_3_spelling,year_3_spelling_color,year_3_grammar,year_3_grammar_color,year_3_numeracy,year_3_numeracy_color,year_5_reading,year_5_reading_color,year_5_writing,year_5_writing_color,year_5_spelling,year_5_spelling_color,year_5_grammar,year_5_grammar_color,year_5_numeracy,year_5_numeracy_color,year_7_reading,year_7_reading_color,year_7_writing,year_7_writing_color,year_7_spelling,year_7_spelling_color,year_7_grammar,year_7_grammar_color,year_7_numeracy,year_7_numeracy_color,year_9_reading,year_9_reading_color,year_9_writing,year_9_writing_color,year_9_spelling,year_9_spelling_color,year_9_grammar,year_9_grammar_color,year_9_numeracy,year_9_numeracy_color,naplan_participation,attendance_year,attendance_rate,high_attendance_rate
TRUE,https://www.myschool.edu.au/school/48096,48096,A B Paterson College,Non-government,Combined,"Arundel, QLD",1628,,,,,,,,,,,2024,465,#52cead,457,#52cead,450,#52cead,478,#52cead,457,#52cead,548,#52cead,535,#52cead,533,#52cead,543,#52cead,548,#52cead,578,#52cead,603,#52cead,577,#b6f9cc,578,#b6f9cc,594,#52cead,606,#52cead,650,#52cead,596,#b6f9cc,614,#52cead,624,#52cead,99,2024,94%,81%
TRUE,https://www.myschool.edu.au/school/44003,44003,A.G.B.U. Alexander Primary School,Non-government,Primary,"Duffys Forest, NSW",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,https://www.myschool.edu.au/school/44370,44370,Abbotsford Primary School,Government,Primary,"Abbotsford, VIC",166,,,,,,,,,,,2024,455,#52cead,451,#52cead,439,#b6f9cc,446,#b6f9cc,443,#52cead,545,#52cead,513,#b6f9cc,502,#ffffff,537,#b6f9cc,544,#52cead,,,,,,,,,,,,,,,,,,,,,92,2024,90%,69%
TRUE,https://www.myschool.edu.au/school/40987,40987,Abbotsford Public School,Government,Primary,"Abbotsford, NSW",394,,,null,null,null,null,null,null,null,null,2024,420,#ffffff,427,#ffffff,410,#ffffff,416,#ffffff,417,#ffffff,518,#b6f9cc,513,#b6f9cc,494,#ffffff,521,#b6f9cc,525,#b6f9cc,,,,,,,,,,,,,,,,,,,,,100,2024,92%,73%
,https://www.myschool.edu.au/school/43762,43762,Abbotsleigh,Non-government,Combined,"Wahroonga, NSW",1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/46801,46801,Abercorn State School,Government,Primary,"Abercorn, QLD",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/41852,41852,Aberdeen Public School,Government,Primary,"Aberdeen, NSW",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/44727,44727,Aberfeldie Primary School,Government,Primary,"Essendon, VIC",380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49360,49360,Aberfoyle Hub Primary School,Government,Primary,"Aberfoyle Park, SA",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.myschool.edu.au/school/49663,49663,Aberfoyle Park High School,Government,Secondary,"Aberfoyle Park, SA",995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
