sep=;
"ID";"title";"ad_link";"category";"date";"price";"delete";"details";"images"
"32052897";"PH Victory Sport Vista al Mar Amoblado –Lifestyle Deportivo en Coco del Mar $2,000";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/ph-victory-sport-vista-al-mar-amoblado-lifestyle-deportivo-en-coco-del-mar-2-000/32052897";"Coco del Mar";"Publicado el 28/02/2026";"B/. 2,000";"False";"TRUE";"TRUE"
"32052920";"Alquiler $1,300 | PH Quadrat San Francisco | 100 m² | 1 Recámara | Full Amoblado";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-1-300-ph-quadrat-san-francisco-100-m-1-recamara-full-amoblado/32052920";"San Francisco";"Publicado el 28/02/2026";"B/. 1,300";"False";"False";"False"
"32052973";"Alquiler Costa Sur | PH Costamare 3 Rec – $1,200";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-sur-ph-costamare-3-rec-1-200/32052973";"Costa Sur";"Publicado el 28/02/2026";"B/. 1,200";"False";"False";"False"
"32052987";"Alquiler Costa del Este | PH Breeze Amoblado 3 Rec – $2,800";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-costa-del-este-ph-breeze-amoblado-3-rec-2-800/32052987";"Costa del Este";"Publicado el 28/02/2026";"B/. 2,800";"False";"False";"False"
"32055168";"Alquiler Punta Pacífica | Q Tower Piso Alto Vista Excepcional – $3,400";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-punta-pacifica-q-tower-piso-alto-vista-excepcional-3-400/32055168";"Punta Pacífica";"Publicado el 28/02/2026";"B/. 3,400";"False";"False";"False"
"32048438";"GANGA! $1,500 | Local Comercial 115 m² | Vía Veneto, El Cangrejo | Máxima Visibilidad";"/panama-es/bienes-raices-alquiler-comercios/ganga-1-500-local-comercial-115-m-via-veneto-el-cangrejo-maxima-visibilidad/32048438";"El Cangrejo";"Publicado el 27/02/2026";"B/. 1,500";"False";"False";"False"
"32052071";"Alquiler Costa del Este | PH Parkside Vista al Mar – $2,300";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-del-este-ph-parkside-vista-al-mar-2-300/32052071";"Costa del Este";"Publicado el 27/02/2026";"B/. 2,300";"False";"False";"False"
"32052134";"Alquiler";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler/32052134";"San Francisco";"Publicado el 27/02/2026";"B/. 3,500";"False";"False";"False"
"32067293";"Exclusivo A Estrenar en Pta Pacífica | Pacific Point – $5,000";"/panama-es/bienes-raices-alquiler-apartamentos/exclusivo-a-estrenar-en-pta-pacifica-pacific-point-5-000/32067293";"Punta Pacífica";"Publicado el 03/03/2026";"B/. 5,000";"False";"False";"False"
"32062073";"Alquiler Av Balboa | PH Element Amoblado con Jacuzzi – $1,400";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-av-balboa-ph-element-amoblado-con-jacuzzi-1-400/32062073";"Avenida Balboa";"Publicado el 03/03/2026";"B/. 1,400";"False";"False";"False"
"31942562";"Alquiler Avenida Balboa | PH H2O Vista Full al Mar – $1,600 (Línea Blanca)";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-avenida-balboa-ph-h2o-vista-full-al-mar-1-600-linea-blanca/31942562";"Avenida Balboa";"Publicado el 03/03/2026";"B/. 1,600";"False";"False";"False"
"31942598";"Alquiler en Pta Pacífica | PH Ocean Drive 3 Rec Vista al Mar – $2,000";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-en-pta-pacifica-ph-ocean-drive-3-rec-vista-al-mar-2-000/31942598";"Punta Pacífica";"Publicado el 03/03/2026";"B/. 2,000";"False";"False";"False"
"31942628";"Alquiler Av Balboa | PH Element Amoblado con Jacuzzi – $1,400";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-av-balboa-ph-element-amoblado-con-jacuzzi-1-400/31942628";"Avenida Balboa";"Publicado el 03/03/2026";"B/. 1,400";"False";"False";"False"
"31949989";"Alquiler Santa María | Ocean House Línea Blanca – $1,700";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-santa-maria-ocean-house-linea-blanca-1-700/31949989";"Santa María";"Publicado el 03/03/2026";"B/. 1,700";"False";"False";"False"
"32067078";"Alquiler Coco del Mar | PH Náutica Frente al Mar – $1,900";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-coco-del-mar-ph-nautica-frente-al-mar-1-900/32067078";"Coco del Mar";"Publicado el 03/03/2026";"B/. 1,900";"False";"False";"False"
"31934607";"Alquiler Costa del Este | PH Costa View 3R + C/B/E – $1,600";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-del-este-ph-costa-view-3r-c-b-e-1-600/31934607";"Costa del Este";"Publicado el 03/03/2026";"B/. 1,600";"False";"False";"False"
"32062108";"Alquiler Pta. Pacífica | PH Pacific Sky Vista a la Ciudad – $1,300";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-pta-pacifica-ph-pacific-sky-vista-a-la-ciudad-1-300/32062108";"Punta Pacífica";"Publicado el 03/03/2026";"B/. 1,300";"False";"False";"False"
"32066042";"Alquiler Clayton | PH Clayton Park II Torre 500 – 3 Rec – $2,200";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-clayton-ph-clayton-park-ii-torre-500-3-rec-2-200/32066042";"Clayton";"Publicado el 03/03/2026";"B/. 2,200";"False";"False";"False"
"32066088";"Alquiler Punta Pacífica | PH Pacific Bay, 224 m² – $2,400";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-punta-pacifica-ph-pacific-bay-224-m-2-400/32066088";"Punta Pacífica";"Publicado el 03/03/2026";"B/. 2,400";"False";"False";"False"
"32066102";"Alquiler en CDE | PH Castellammare Vista al Parque – $2,300 (Negociable)";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-en-cde-ph-castellammare-vista-al-parque-2-300-negociable/32066102";"Costa del Este";"Publicado el 03/03/2026";"B/. 2,300";"False";"False";"False"
"32066119";"Alquiler Punta Pacífica | PH Pacific Wind 3 Rec – $1,300 (Último precio)";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-punta-pacifica-ph-pacific-wind-3-rec-1-300-ultimo-precio/32066119";"Punta Pacífica";"Publicado el 03/03/2026";"B/. 1,300";"False";"False";"False"
"32066409";"Alquiler San Francisco | PH Terramar 3 Rec Vista al Mar – $1,500";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-san-francisco-ph-terramar-3-rec-vista-al-mar-1-500/32066409";"San Francisco";"Publicado el 03/03/2026";"B/. 1,500";"False";"False";"False"
"32066505";"Alquiler Avenida Balboa | H2O On The Ocean 1 Rec Vista al Mar – $1,750";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-avenida-balboa-h2o-on-the-ocean-1-rec-vista-al-mar-1-750/32066505";"Avenida Balboa";"Publicado el 03/03/2026";"B/. 1,750";"False";"False";"False"
"32066621";"Alquiler Costa Sur | Torres de Versalles II 3 Rec Amoblado – Último Piso";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-costa-sur-torres-de-versalles-ii-3-rec-amoblado-ultimo-piso/32066621";"Costa Sur";"Publicado el 03/03/2026";"B/. 980";"False";"False";"False"
"32066858";"Alquiler Obarrio | Galería Uno Full Amoblado – $1,550";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-obarrio-galeria-uno-full-amoblado-1-550/32066858";"Obarrio";"Publicado el 03/03/2026";"B/. 1,550";"False";"False";"False"
"32067050";"Alquiler $3,100 | PH Victory Sport Coco del Mar | 150 m² | 3 Rec. + Estudio | Full Equipado";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-3-100-ph-victory-sport-coco-del-mar-150-m-3-rec-estudio-full-equipado/32067050";"Coco del Mar";"Publicado el 03/03/2026";"B/. 3,100";"False";"False";"False"
"32067057";"Alquiler Avenida Balboa | PH H2O Vista Full al Mar – $1,600 (Línea Blanca)";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-avenida-balboa-ph-h2o-vista-full-al-mar-1-600-linea-blanca/32067057";"Avenida Balboa";"Publicado el 03/03/2026";"B/. 1,600";"False";"False";"False"
"32062598";"Alquiler Costa del Este | PH The Regent 2 Rec Vista al Mar – $1,800";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-del-este-ph-the-regent-2-rec-vista-al-mar-1-800/32062598";"Costa del Este";"Publicado el 03/03/2026";"B/. 1,800";"False";"False";"False"
"32067065";"Alquiler Punta Pacífica | PH Dupont 3 Rec - Terraza – $2,400";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-punta-pacifica-ph-dupont-3-rec-terraza-2-400/32067065";"Punta Pacífica";"Publicado el 03/03/2026";"B/. 2,400";"False";"False";"False"
"32066069";"Alquiler Costa Sur | PH Costamare 2 Rec Linea Blanca – $900";"/panama-es/bienes-raices-alquiler-apartamentos/alquiler-costa-sur-ph-costamare-2-rec-linea-blanca-900/32066069";"Costa Sur";"Publicado el 03/03/2026";"B/. 900";"False";"False";"False"
"32059982";"Alquiler en Pta Pacífica | PH Ocean Drive 3 Rec Vista al Mar – $2,000";"/panama-es/bienes-raices-alquiler-apartamentos-amueblados/alquiler-en-pta-pacifica-ph-ocean-drive-3-rec-vista-al-mar-2-000/32059982";"Punta Pacífica";"Publicado el 02/03/2026";"B/. 2,000";"False";"False";"False"
