name,start_angle,sweep_angle,primary_radius,secondary_radius,outer_radius
RAFT_RX_Roofing___Exteriors,5.566,17.208,153.000,382.000,850.864
Canopy_Services,22.774,11.586,153.000,382.000,850.864
VERTEX_Service_Partners,34.359,29.353,153.000,382.000,850.864
VALOR_Exterior_Partners,63.712,13.277,153.000,382.000,850.864
Ridgeline_Roofing___Restoration,76.990,19.810,153.000,382.000,850.864
Aligned_Exteriors_Group,96.800,19.568,153.000,382.000,850.864
IHS,116.367,35.657,153.000,382.000,850.864
US_United_Service_Partners,152.024,8.632,153.000,382.000,850.864
ELITE_Construction_Solutions,160.656,9.051,153.000,382.000,850.864
PEAK_Roofing_Partners,169.706,4.225,153.000,382.000,850.864
Legacy_Restoration,173.931,4.726,153.000,382.000,850.864
NORTHPOINT_Roofing_Systems,178.657,7.312,153.000,382.000,850.864
Pinnacle_Home_Improvement_Group,185.969,5.387,153.000,382.000,850.864
Apple_Roofing,191.356,8.515,153.000,382.000,850.864
STRONGHOUSE_SOLUTIONS,199.871,12.463,153.000,382.000,850.864
A_Allstar_Services,212.334,30.556,153.000,382.000,850.864
Alloy_Roofing,242.891,19.763,153.000,382.000,850.864
TRUSSPOINT_Roofing___Exteriors,262.654,9.746,153.000,382.000,850.864
Roofing_Services_Solutions,272.400,24.490,153.000,382.000,850.864
Skyline_Roofing_Partners,296.890,10.686,153.000,382.000,850.864
Stonegrove_Roofing_Partners,307.575,15.433,153.000,382.000,850.864
Omnia_Exterior_Solutions,323.008,19.105,153.000,382.000,850.864
ONE,342.114,8.688,153.000,382.000,850.864
SkyCrest,350.802,4.804,153.000,382.000,850.864
Firstridge_Service_Partners,355.606,9.959,153.000,382.000,850.864
