vendor,category,name,sku,flag,price,unit,url,image,brand,scraped_time,price_2026_01_06,unit_2026_01_06,status_2026_01_06,price_2026_01_08,unit_2026_01_08,status_2026_01_08,price_2026_01_07,unit_2026_01_07,status_2026_01_07,flagged_time,price_2026_01_10,unit_2026_01_10,status_2026_01_10
Turkstra Lumber,Lumber & Framing Components,2”x4”x8’ Spruce Construction Lumber,248S,True,$3.98,/ Piece,https://turkstralumber.com/products/2-x4-x8-kiln-dried-spruce-construction-lumber,https://turkstralumber.com/cdn/shop/files/248S.jpg,TURKSTRA,00:20.0,,,,,,,,,,,$3.98,/ Piece,SCRAPED
Clarington Home Hardware,Lumber,PT 6x6x14,2835996,True,1,/each,https://claringtonhomehardware.com/p/pt-6x6x14/2835996,https://ik.imagekit.io/toolbx/p_1693541253340_59698db0-51de-465a-a7b1-d1d9858c5eeb_2835996.jpg,,,0,/each,NEW ENTRY,0,/each,SCRAPED,0,/each,SCRAPED,2026-01-10 21:52:07.632622,$72.97,/each,
Clarington Home Hardware,Lumber,PT 1x4x8,2835949,False,$5.97,/each,https://claringtonhomehardware.com/p/pt-1x4x8/2835949,https://ik.imagekit.io/toolbx/p_1693540932158_a0a61a8a-0d5d-495c-8fbb-f64a35188c6d_2835949.jpg,,,$5.97,/each,NEW ENTRY,$5.97,/each,SCRAPED,$5.97,/each,SCRAPED,43:39.1,,,
Clarington Home Hardware,Lumber,Pine 1x6x6,2826850,False,$7.54,/each,https://claringtonhomehardware.com/p/pine-1x6x6/2826850,https://ik.imagekit.io/toolbx/p_1693540974662_54adc306-fd9d-40ce-95cd-fb1e3d1afc88_2826850.jpg,,,$7.54,/each,NEW ENTRY,$7.54,/each,SCRAPED,$7.54,/each,SCRAPED,,,,
Clarington Home Hardware,Lumber,Spruce 2x4x116-5/8,2833536,False,$7.25,/each,https://claringtonhomehardware.com/p/spruce-2x4x116-58/2833536,https://ik.imagekit.io/toolbx/p_1693541591773_9b2f481a-01c4-4038-9b42-ba89c1522697_2833536.jpg,,,$7.25,/each,NEW ENTRY,$7.25,/each,SCRAPED,$7.25,/each,SCRAPED,2026-01-10 21:52:10.432170,$7.25,/each,
Clarington Home Hardware,Lumber,LVL 11-7/8x10',1178LVL10,False,$111.85,/each,https://claringtonhomehardware.com/p/lvl-11-78x10/1178LVL10,https://ik.imagekit.io/toolbx/src-img/158706539262,,,$111.85,/each,NEW ENTRY,$111.85,/each,SCRAPED,$111.85,/each,SCRAPED,,,,
Clarington Home Hardware,Lumber,Spruce 2x4x10,2832429,False,$6.90,/each,https://claringtonhomehardware.com/p/spruce-2x4x10/2832429,https://ik.imagekit.io/toolbx/p_1693541601798_41a0c7af-af24-419a-801b-f4a86551b567_2832429.jpg,,,$6.90,/each,NEW ENTRY,$6.90,/each,SCRAPED,$6.90,/each,SCRAPED,2026-01-10 21:52:13.467037,$6.90,/each,
Clarington Home Hardware,Lumber,PT 2x10x12,2835980,False,$37.44,/each,https://claringtonhomehardware.com/p/pt-2x10x12/2835980,https://ik.imagekit.io/toolbx/p_1693541021159_90bb36f8-5932-40f8-b913-2396b2a2663f_2835980.jpg,,,$37.44,/each,NEW ENTRY,$37.44,/each,SCRAPED,$37.44,/each,SCRAPED,,,,
Clarington Home Hardware,Lumber,LVL 11-7/8x24',1178LVL24,False,$268.43,/each,https://claringtonhomehardware.com/p/lvl-11-78x24/1178LVL24,https://ik.imagekit.io/toolbx/src-img/158706539262,,,$268.43,/each,NEW ENTRY,$268.43,/each,SCRAPED,$268.43,/each,SCRAPED,,,,
Clarington Home Hardware,Lumber,Spruce 2x12x14,2832501,False,$56.71,/each,https://claringtonhomehardware.com/p/spruce-2x12x14/2832501,https://ik.imagekit.io/toolbx/p_1693541538752_505db67e-58f6-42ca-8430-7ba32128aa58_2832501.jpg,,,$56.71,/each,NEW ENTRY,$56.71,/each,SCRAPED,$56.71,/each,SCRAPED,,,,
