vendor,category,name,sku,price,unit,brand,url,image,scrape_date
Adams Building Supply,Treated Lumber,1X1X8 NAILING STRIP PT BROWN,1108PTB,CAD 3.32,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1x1x8-nailing-strip-pt-brown,https://us.evocdn.io/dealer/1405/catalog/product/images/1108NS.jpg,2026-01-10 16:32:26.441947
Adams Building Supply,Treated Lumber,1 X 6 -04 PT BROWN,1604PTB,CAD 3.99,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1-x-6-04-pt-brown,https://us.evocdn.io/dealer/1405/catalog/product/images/1X6FENCEPT.jpg,2026-01-10 16:32:26.523949
Adams Building Supply,Treated Lumber,1 X 6 -05 PT BROWN,1605PTB,CAD 3.93,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1-x-6-05-pt-brown,https://us.evocdn.io/dealer/1405/catalog/product/images/1X6FENCEPT.jpg,2026-01-10 16:32:26.590945
Adams Building Supply,Treated Lumber,1 X 6 -06 PT BROWN,1606PTB,CAD 4.73,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1-x-6-06-pt-brown,https://us.evocdn.io/dealer/1405/catalog/product/images/1X6FENCEPT.jpg,2026-01-10 16:32:26.658947
Adams Building Supply,Treated Lumber,1 X 6 -07 PT BROWN,1607PTB,CAD 5.59,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1-x-6-07-pt-brown,https://us.evocdn.io/dealer/1405/catalog/product/images/1X6FENCEPT.jpg,2026-01-10 16:32:26.729949
Adams Building Supply,Treated Lumber,1 X 6 -08 PT BROWN,1608PTB,CAD 6.30,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1-x-6-08-pt-brown,https://us.evocdn.io/dealer/1405/catalog/product/images/1X6FENCEPT.jpg,2026-01-10 16:32:26.843947
Adams Building Supply,Treated Lumber,1 X 8 PRIVACY PLUS PT BROWN LATTICE,18PPPTB,CAD 11.89,/ EA,Own Brand,https://www.adamsbuildingsupply.com/1-x-8-privacy-plus-pt-brown-lattice,https://www.adamsbuildingsupply.com/img/picture-100.png,2026-01-10 16:32:26.948271
Adams Building Supply,Treated Lumber,1X8 PRIVACY PT BROWN LATTICE,18PRLATPTB,,,Own Brand,https://www.adamsbuildingsupply.com/1x8-privacy-pt-brown-lattice,https://www.adamsbuildingsupply.com/img/picture-100.png,2026-01-10 16:32:27.078314
Adams Building Supply,Treated Lumber,2 X 10 -0 Pressure Treated Sienna Brown,21008PTB,CAD 23.92,/ EA,Own Brand,https://www.adamsbuildingsupply.com/pressure-treated-sienna-brown--14,https://us.evocdn.io/dealer/1405/catalog/product/images/210PTB.jpg,2026-01-10 16:32:27.177361
Adams Building Supply,Treated Lumber,2 X 10 -1 Pressure Treated Sienna Brown,21010PTB,CAD 29.90,/ EA,Own Brand,https://www.adamsbuildingsupply.com/pressure-treated-sienna-brown--15,https://us.evocdn.io/dealer/1405/catalog/product/images/210PTB.jpg,2026-01-10 16:32:27.288361
