vendor,category,name,url,sku,model,price,unit,image_url,scrape_date
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 4-inch x 8-ft SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000112108,1000112108,112108,$$3.98,/ each,https://images.homedepot.ca/productimages/p_1000112108.jpg?product-images=m,2026-01-07 11:15:31.657012
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 6-inch x 8-ft SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000117995,1000117995,117995,$$6.48,/ each,https://images.homedepot.ca/productimages/p_1000117995.jpg?product-images=m,2026-01-07 11:15:31.885016
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 4 inch x 10-ft SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100158,1000100158,100158,$$5.98,/ each,https://images.homedepot.ca/productimages/p_1000100158.jpg?product-images=m,2026-01-07 11:15:32.006065
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 2-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000173732,1000173732,173732,$$3.87,/ each,https://images.homedepot.ca/productimages/p_1000173732.jpg?product-images=m,2026-01-07 11:15:32.129176
Home Depot Canada,Dimensional Lumber & Studs,1-inch x 2-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000173739,1000173739,10107,$$1.96,/ each,https://images.homedepot.ca/productimages/p_1000173739.jpg?product-images=m,2026-01-07 11:15:32.266253
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 4-inch x 92 5/8-inch SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000112105,1000112105,112105,$$3.93,/ each,https://images.homedepot.ca/productimages/p_1000112105.jpg?product-images=m,2026-01-07 11:15:32.412776
Home Depot Canada,Dimensional Lumber & Studs,1-inch x 4-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100188,1000100188,75800742,$$3.82,/ each,https://images.homedepot.ca/productimages/p_1000100188.jpg?product-images=m,2026-01-07 11:15:32.551806
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 4-inch x 12-foot SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100159,1000100159,100159,$$7.28,/ each,https://images.homedepot.ca/productimages/p_1000100159.jpg?product-images=m,2026-01-07 11:15:32.676495
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 6-inch x 10-ft SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100164,1000100164,100164,$$10.98,/ each,https://images.homedepot.ca/productimages/p_1000100164.jpg?product-images=m,2026-01-07 11:15:32.801194
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 3-inch x 8-ft FJ SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000112106,1000112106,112106,$$3.38,/ each,https://images.homedepot.ca/productimages/p_1000112106.jpg?product-images=m,2026-01-07 11:15:32.926482
Home Depot Canada,Dimensional Lumber & Studs,1-inch x 6-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000414127,1000414127,90001489,$$6.13,/ each,https://images.homedepot.ca/productimages/p_1000414127.jpg?product-images=m,2026-01-07 11:15:33.050966
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 10-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100173,1000100173,100173,$$18.64,/ each,https://images.homedepot.ca/productimages/p_1000100173.jpg?product-images=m,2026-01-07 11:15:33.192877
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 8-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100168,1000100168,100168,$$15.11,/ each,https://images.homedepot.ca/productimages/p_1000100168.jpg?product-images=m,2026-01-07 11:15:33.322240
Home Depot Canada,Dimensional Lumber & Studs,1-inch x 3-inch x 8-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000112188,1000112188,112188,$$3.05,/ each,https://images.homedepot.ca/productimages/p_1000112188.jpg?product-images=m,2026-01-07 11:15:33.446236
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 12-inch x 12-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100180,1000100180,100180,$$46.84,/ each,https://images.homedepot.ca/productimages/p_1000100180.jpg?product-images=m,2026-01-07 11:15:33.571023
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 4-inch x 16-ft SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100162,1000100162,100162,$$9.92,/ each,https://images.homedepot.ca/productimages/p_1000100162.jpg?product-images=m,2026-01-07 11:15:33.696568
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 6-inch x 12-ft SPF Select 2Btr Grade Lumber,https://www.homedepot.ca/product/1000100165,1000100165,100165,$$13.28,/ each,https://images.homedepot.ca/productimages/p_1000100165.jpg?product-images=m,2026-01-07 11:15:33.821800
Home Depot Canada,Dimensional Lumber & Studs,2-inch x 10-inch x 10-ft SPF Premium 2Btr Grade Lumber,https://www.homedepot.ca/product/1000167995,1000167995,167995,$$24.21,/ each,https://images.homedepot.ca/productimages/p_1000167995.jpg?product-images=m,2026-01-07 11:15:33.942058
