vendor,category,name,sku,price,unit,url,image,scrape_date
Clarington Home Hardware,Lumber,Pine 1x4,2826899,$2.19,/foot,https://claringtonhomehardware.com/p/pine-1x4/2826899,https://ik.imagekit.io/toolbx/p_1693540927261_33eaa25c-2327-49e3-a350-bf94723459d4_2826899.jpg,2026-01-07 10:32:03.180959
Clarington Home Hardware,Lumber,Spruce 2x2x8,2833501,$4.19,/each,https://claringtonhomehardware.com/p/spruce-2x2x8/2833501,https://ik.imagekit.io/toolbx/p_1693541572189_8c30a3a1-547e-4b55-8762-f7d2c39eb980_2833501.jpg,2026-01-07 10:32:03.238021
Clarington Home Hardware,Lumber,PT 5/4x6x12,2835942,$13.07,/each,https://claringtonhomehardware.com/p/pt-54x6x12/2835942,https://ik.imagekit.io/toolbx/p_1693541228589_c7b482f2-1ffd-4aef-b724-9c97aecc5bb4_2835942.jpg,2026-01-07 10:32:03.298780
Clarington Home Hardware,Lumber,PT 6x6x14,2835996,$72.97,/each,https://claringtonhomehardware.com/p/pt-6x6x14/2835996,https://ik.imagekit.io/toolbx/p_1693541253340_59698db0-51de-465a-a7b1-d1d9858c5eeb_2835996.jpg,2026-01-07 10:32:03.357507
Clarington Home Hardware,Lumber,PT 1x4x8,2835949,$5.97,/each,https://claringtonhomehardware.com/p/pt-1x4x8/2835949,https://ik.imagekit.io/toolbx/p_1693540932158_a0a61a8a-0d5d-495c-8fbb-f64a35188c6d_2835949.jpg,2026-01-07 10:32:03.415488
Clarington Home Hardware,Lumber,Pine 1x6x6,2826850,$7.54,/each,https://claringtonhomehardware.com/p/pine-1x6x6/2826850,https://ik.imagekit.io/toolbx/p_1693540974662_54adc306-fd9d-40ce-95cd-fb1e3d1afc88_2826850.jpg,2026-01-07 10:32:03.471914
Clarington Home Hardware,Lumber,Spruce 2x4x116-5/8,2833536,$7.25,/each,https://claringtonhomehardware.com/p/spruce-2x4x116-58/2833536,https://ik.imagekit.io/toolbx/p_1693541591773_9b2f481a-01c4-4038-9b42-ba89c1522697_2833536.jpg,2026-01-07 10:32:03.530763
Clarington Home Hardware,Lumber,LVL 11-7/8x10',1178LVL10,$111.85,/each,https://claringtonhomehardware.com/p/lvl-11-78x10/1178LVL10,https://ik.imagekit.io/toolbx/src-img/158706539262,2026-01-07 10:32:03.591850
Clarington Home Hardware,Lumber,Spruce 2x4x10,2832429,$6.90,/each,https://claringtonhomehardware.com/p/spruce-2x4x10/2832429,https://ik.imagekit.io/toolbx/p_1693541601798_41a0c7af-af24-419a-801b-f4a86551b567_2832429.jpg,2026-01-07 10:32:03.653384
Clarington Home Hardware,Lumber,PT 2x10x12,2835980,$37.44,/each,https://claringtonhomehardware.com/p/pt-2x10x12/2835980,https://ik.imagekit.io/toolbx/p_1693541021159_90bb36f8-5932-40f8-b913-2396b2a2663f_2835980.jpg,2026-01-07 10:32:03.714338
Clarington Home Hardware,Lumber,LVL 11-7/8x24',1178LVL24,$268.43,/each,https://claringtonhomehardware.com/p/lvl-11-78x24/1178LVL24,https://ik.imagekit.io/toolbx/src-img/158706539262,2026-01-07 10:32:03.775271
Clarington Home Hardware,Lumber,Spruce 2x12x14,2832501,$56.71,/each,https://claringtonhomehardware.com/p/spruce-2x12x14/2832501,https://ik.imagekit.io/toolbx/p_1693541538752_505db67e-58f6-42ca-8430-7ba32128aa58_2832501.jpg,2026-01-07 10:32:03.837085
Clarington Home Hardware,Lumber,PT 2x4x14,2836004,$13.25,/each,https://claringtonhomehardware.com/p/pt-2x4x14/2836004,https://ik.imagekit.io/toolbx/p_1693541089956_dd0ac501-ab4e-4bdc-a81f-a4acb453b5fe_2836004.jpg,2026-01-07 10:32:03.899480
