category,name,sku,price,unit,url,image
Lumber,2x4x8' Premium SPF,248,3.99,/each,https://downtownlumber.com/p/2x4x8-premium-spf/248,https://ik.imagekit.io/toolbx/p_1657819298557_94b2306e-d666-4215-a638-23b866c2dd06.jpg
Lumber,2x4x10' Premium SPF,2410,5.99,/each,https://downtownlumber.com/p/2x4x10-premium-spf/2410,https://ik.imagekit.io/toolbx/p_1657819287067_c68fa396-3582-4afd-b7f8-b4840c9a533b.jpg
Lumber,2x6x8' Premium WR Cedar,268C,34.99,/each,https://downtownlumber.com/p/2x6x8-premium-wr-cedar/268C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x6cedar.png
Lumber,2x4x12' Premium WR Cedar,2412C,24.99,/each,https://downtownlumber.com/p/2x4x12-premium-wr-cedar/2412C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x4cedar.png
Lumber,2x6x8' Premium SPF,268,6.79,/each,https://downtownlumber.com/p/2x6x8-premium-spf/268,https://ik.imagekit.io/toolbx/ecommerce/DTL/16.9.22/268.png
Lumber,2x10x12' Premium SPF,21012,27.98,/each,https://downtownlumber.com/p/2x10x12-premium-spf/21012,https://ik.imagekit.io/toolbx/p_1657819320547_cc0bcfb4-086b-4022-a95f-844ec228d4aa.jpg
Lumber,2x4x10' Premium WR Cedar,2410C,20.99,/each,https://downtownlumber.com/p/2x4x10-premium-wr-cedar/2410C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x4cedar.png
Lumber,2x12x12' Premium SPF,21212,47.98,/each,https://downtownlumber.com/p/2x12x12-premium-spf/21212,https://ik.imagekit.io/toolbx/p_1657819298145_11926902-f7a7-41cd-b80f-7a1c8647c009.jpg
Lumber,2x2x8' Premium SPF,228,3.69,/each,https://downtownlumber.com/p/2x2x8-premium-spf/228,https://ik.imagekit.io/toolbx/p_1668056692613_550ebe94-2153-4764-99f4-d357848ea7f6_228.jpg
Lumber,2x6x10' Premium WR Cedar,2610C,39.99,/each,https://downtownlumber.com/p/2x6x10-premium-wr-cedar/2610C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x6cedar.png
Lumber,2x8x12' Premium SPF,2812,22.99,/each,https://downtownlumber.com/p/2x8x12-premium-spf/2812,https://ik.imagekit.io/toolbx/ecommerce/DTL/16.9.22/2812.png
Lumber,5/4x6x8' Cedar Deck Boards WR,548C,24.99,/each,https://downtownlumber.com/p/54x6x8-cedar-deck-boards-wr/548C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/54x6cedar.png
Lumber,2x6x10' Premium SPF,2610,10.99,/each,https://downtownlumber.com/p/2x6x10-premium-spf/2610,https://ik.imagekit.io/toolbx/p_1657820448988_6655d606-dec4-4487-b5a7-2b0971ea840b.jpg
Lumber,2x4x8' Sienna Pressure Treated Lumber,248PT,7.99,/each,https://downtownlumber.com/p/2x4x8-sienna-pressure-treated-lumber/248PT,https://ik.imagekit.io/toolbx/p_1657819314406_4ba13b9f-58f1-42ad-818f-779a53a50f0f.jpg
Lumber,2x4x8' Premium WR Cedar,248C,17.99,/each,https://downtownlumber.com/p/2x4x8-premium-wr-cedar/248C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x4cedar.png
Lumber,2x4x10' Sienna Pressure Treated Lumber,2410PT,9.99,/each,https://downtownlumber.com/p/2x4x10-sienna-pressure-treated-lumber/2410PT,https://ik.imagekit.io/toolbx/p_1657819324941_74549fda-b2ae-4386-8f2d-3ed9d7e0cd39.jpg
Lumber,2x6x12' Premium SPF,2612,13.49,/each,https://downtownlumber.com/p/2x6x12-premium-spf/2612,https://ik.imagekit.io/toolbx/ecommerce/DTL/16.9.22/2612.png
Lumber,2x6x12' Premium WR Cedar,2612C,53.99,/each,https://downtownlumber.com/p/2x6x12-premium-wr-cedar/2612C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x6cedar.png
Lumber,2x4x16' Premium WR Cedar,2416C,29.99,/each,https://downtownlumber.com/p/2x4x16-premium-wr-cedar/2416C,https://ik.imagekit.io/toolbx/ecommerce/DTL/10.03.22/2x4cedar.png
Lumber,5/4x6x10' Cedar Deck Boards WR,5410C,28.99,/each,https://downtownlumber.com/p/54x6x10-cedar-deck-boards-wr/5410C,https://ik.imagekit.io/toolbx/ecommerce/NCL/54X6CEDAR.png
Lumber,5/4x6x8' Sienna Pressure Treated Lumber Deck Boards,548PT,10.29,/each,https://downtownlumber.com/p/54x6x8-sienna-pressure-treated-lumber-deck-boards/548PT,https://ik.imagekit.io/toolbx/p_1657819300039_90d6e827-914a-4e47-bf8e-090b907f3fe8.jpg
Lumber,2x4x12' Sienna Pressure Treated Lumber,2412PT,11.99,/each,https://downtownlumber.com/p/2x4x12-sienna-pressure-treated-lumber/2412PT,https://ik.imagekit.io/toolbx/p_1657819314406_4ba13b9f-58f1-42ad-818f-779a53a50f0f.jpg
Lumber,2x6x8' Sienna Pressure Treated Lumber,268PT,13.99,/each,https://downtownlumber.com/p/2x6x8-sienna-pressure-treated-lumber/268PT,https://ik.imagekit.io/toolbx/p_1657819414434_c2a45698-8089-4dda-a75c-3811eb059963.jpg
Lumber,4x4x8' Sienna Pressure Treated Lumber,448PT,17.49,/each,https://downtownlumber.com/p/4x4x8-sienna-pressure-treated-lumber/448PT,https://ik.imagekit.io/toolbx/p_1657819305956_8b684e6b-a718-4347-9f3f-b5749523e1cd.jpg
Lumber,2x10x16' Premium SPF,21016,37.98,/each,https://downtownlumber.com/p/2x10x16-premium-spf/21016,https://ik.imagekit.io/toolbx/p_1657819401807_9c52fb82-cc79-4e83-b02a-09924fd0cc5c.jpg
Lumber,5/4x6x16' Sienna Pressure Treated Lumber Deck Boards,5416PT,20.49,/each,https://downtownlumber.com/p/54x6x16-sienna-pressure-treated-lumber-deck-boards/5416PT,https://ik.imagekit.io/toolbx/src-img/196482350772
Lumber,2x8x16' Premium SPF,2816,30.99,/each,https://downtownlumber.com/p/2x8x16-premium-spf/2816,https://ik.imagekit.io/toolbx/ecommerce/DTL/16.9.22/2816.png
Lumber,2x12x10' Premium SPF,21210,37.98,/each,https://downtownlumber.com/p/2x12x10-premium-spf/21210,https://ik.imagekit.io/toolbx/ecommerce/DTL/16.9.22/21210.png
Lumber,2x10x16' Sienna Pressure Treated Lumber,21016PT,49.99,/each,https://downtownlumber.com/p/2x10x16-sienna-pressure-treated-lumber/21016PT,https://ik.imagekit.io/toolbx/p_1657819359776_0baa258a-ea2d-4a7d-8f77-4b1947702ab5.jpg
