category,name,sku,price,unit,url,image
Spruce,"1"" x 3"" x 8' Spruce",1308S,2.86,/each,https://slacklumber.ca/p/1-x-3-x-8-spruce/1308S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/1308S.png
Spruce,2x8x20' Spruce 1&2,2820S,31.11,/each,https://slacklumber.ca/p/2x8x20-spruce-12/2820S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/2820S.png
Spruce,2x4x12' Spruce 1&2,2412S,7.28,/each,https://slacklumber.ca/p/2x4x12-spruce-12/2412S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/2412S.png
Spruce,2x3x08' Spruce,2308S,3.68,/each,https://slacklumber.ca/p/2x3x08-spruce/2308S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/2308S.png
Spruce,2x12x14' Spruce 1&2,21214S,45.86,/each,https://slacklumber.ca/p/2x12x14-spruce-12/21214S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/21214S.png
Spruce,2x4x16' Spruce 1&2,2416S,9.92,/each,https://slacklumber.ca/p/2x4x16-spruce-12/2416S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/2416S.png
Spruce,2x12x10' Spruce 1&2 Premium,21210S,32.76,/each,https://slacklumber.ca/p/2x12x10-spruce-12-premium/21210S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/21210S.png
Spruce,"1"" x 4"" x 8' Spruce D.4.S.",1408S,3.82,/each,https://slacklumber.ca/p/1-x-4-x-8-spruce-d4s/1408S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/1408S.png
Spruce,"2x4x116 5/8"" Spruce",2410PC,5.95,/each,https://slacklumber.ca/p/2x4x116-58-spruce/2410PC,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/2410PC.png
Spruce,4x4 Cant Strip 08',4408CS,15.50,/each,https://slacklumber.ca/p/4x4-cant-strip-08/4408CS,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/4408CS.png
Spruce,"1"" x 4"" x 16' Rough Spruce",1416RS,5.25,/each,https://slacklumber.ca/p/1-x-4-x-16-rough-spruce/1416RS,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/1416RS.png
Spruce,2x6x14' Spruce 1&2,2614S,16.25,/each,https://slacklumber.ca/p/2x6x14-spruce-12/2614S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/2614S.png
Spruce,2x10x14' Spruce 1&2 Premium,21014S,31.86,/each,https://slacklumber.ca/p/2x10x14-spruce-12-premium/21014S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/21014S.png
Spruce,2x12x20' Spruce 1&2,21220S,84.00,/each,https://slacklumber.ca/p/2x12x20-spruce-12/21220S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/21220S.png
Spruce,2x12x12' Spruce 1&2,21212S,46.84,/each,https://slacklumber.ca/p/2x12x12-spruce-12/21212S,https://ik.imagekit.io/toolbx/ecommerce/SlackLumber/P2.24.23/21212S.png
