REPORTER_LAB,PARTNER_LAB,PRODUCT,PRODUCT_LAB,FLOW,FLOW_LAB,PERIOD,PERIOD_LAB,INDICATORS,INDICATORS_LAB,INDICATOR_VALUE
"Netherlands","Belgium (incl. Luxembourg 'LU' -> 1998)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",1971
"Netherlands","Brazil",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",674869655
"Netherlands","Canada",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",345442683
"Netherlands","China",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",154463
"Netherlands","Germany (incl. German Democratic Republic 'DD' from 1991)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",41809
"Netherlands","Extra-euro area",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",1792566119
"Netherlands","Extra-euro area - 20 countries (from 2023)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",1792566119
"Netherlands","Extra-EU",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",1707064071
"Netherlands","Extra-EU27 (from 2020)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",1707064071
"Netherlands","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",20
"Netherlands","Intra-euro area",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",43800
"Netherlands","Intra-euro area - 20 countries (from 2023)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",43800
"Netherlands","Intra-EU",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",85545848
"Netherlands","Intra-EU27 (from 2020)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",85545848
"Netherlands","Japan",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",36
"Netherlands","Mexico",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",864
"Netherlands","Norway (incl. Svalbard and Jan Mayen 'SJ' -> 1994 and again from 1997)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",64329263
"Netherlands","Sweden",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",85502048
"Netherlands","Türkiye",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",127
"Netherlands","United States (incl. Navassa Island (part of 'UM') from 1995 -> 2000)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",17427
"Netherlands","All countries of the world",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",1792609919
"Netherlands","Serbia",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",71
"Netherlands","South Africa (incl. Namibia 'NA' -> 1989)",260111,"Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites)",1,"IMPORT",202411,"Nov. 2024",QUANTITY_KG,"QUANTITY_KG",622249482
