category,sku,name,unit,price,url,image,scraped_time
Pressure Treated Lumber,AA574200,"End Cut Preservative, Cut-N-Seal, 946 ml, Brown",,,https://www.coppsbuildall.com/shop/AA574200/end-cut-preservative-cut-n-seal-946-ml-brown/,https://www.coppsbuildall.com/img/products/9259-sm.jpg,2026-01-06 17:04:43.709590
Pressure Treated Lumber,A0724A,"Circular Saw Blade, 7-1/4"" x 24T, Avanti (framing & general purpose cutting) bulk",,,https://www.coppsbuildall.com/shop/A0724A/circular-saw-blade-7-1-4-x-24t-avanti-framing-general-purpose-cutting-bulk/,https://www.coppsbuildall.com/img/products/139797-sm.jpg,2026-01-06 17:04:43.711593
Pressure Treated Lumber,AA574200,"End Cut Preservative, Cut-N-Seal, 946 ml, Brown",,,https://www.coppsbuildall.com/shop/AA574200/end-cut-preservative-cut-n-seal-946-ml-brown/,https://www.coppsbuildall.com/img/products/9259-sm.jpg,2026-01-06 17:04:43.709590
Pressure Treated Lumber,A0724A,"Circular Saw Blade, 7-1/4"" x 24T, Avanti (framing & general purpose cutting) bulk",,,https://www.coppsbuildall.com/shop/A0724A/circular-saw-blade-7-1-4-x-24t-avanti-framing-general-purpose-cutting-bulk/,https://www.coppsbuildall.com/img/products/139797-sm.jpg,2026-01-06 17:04:43.711593
Pressure Treated Lumber,168PT,"Pressure Treated, Brown, 1"" x 6"" x 8 ft",Each,$6.17,https://www.coppsbuildall.com/shop/168PT/pressure-treated-brown-1-x-6-x-8-ft/,https://www.coppsbuildall.com/img/products/2129-sm.jpg,
Pressure Treated Lumber,128PT,"Pressure Treated, Brown, 1"" x 2"" x 8 ft",Each,$4.66,https://www.coppsbuildall.com/shop/128PT/pressure-treated-brown-1-x-2-x-8-ft/,https://www.coppsbuildall.com/img/products/1553-sm.jpg,
Pressure Treated Lumber,164PT,"Pressure Treated, Brown, 1"" x 6"" x 4 ft",Each,$3.26,https://www.coppsbuildall.com/shop/164PT/pressure-treated-brown-1-x-6-x-4-ft/,https://www.coppsbuildall.com/img/products/2086-sm.jpg,
Pressure Treated Lumber,165PT,"Pressure Treated, Brown, 1"" x 6"" x 5 ft",Each,$4.04,https://www.coppsbuildall.com/shop/165PT/pressure-treated-brown-1-x-6-x-5-ft/,https://www.coppsbuildall.com/img/products/2094-sm.jpg,
Pressure Treated Lumber,166PT,"Pressure Treated, Brown, 1"" x 6"" x 6 ft",Each,$4.86,https://www.coppsbuildall.com/shop/166PT/pressure-treated-brown-1-x-6-x-6-ft/,https://www.coppsbuildall.com/img/products/2106-sm.jpg,
Pressure Treated Lumber,167PT,"Pressure Treated, Brown, 1"" x 6"" x 7 ft",Each,$5.53,https://www.coppsbuildall.com/shop/167PT/pressure-treated-brown-1-x-6-x-7-ft/,https://www.coppsbuildall.com/img/products/146982-sm.jpg,
