category,name,sku,price,unit,url,image,scraped_time
Lumber,2x4x10' Premium SPF,S2410,$5.99,/each,https://shop.newcanadianslumber.com/p/2x4x10-premium-spf/S2410,https://ik.imagekit.io/toolbx/src-img/187837322557,2026-01-06 16:07:02.159104
Lumber,2x4x8' Premium SPF,S248,$3.99,/each,https://shop.newcanadianslumber.com/p/2x4x8-premium-spf/S248,https://ik.imagekit.io/toolbx/src-img/187837322557,03:22.6
Lumber,2x4x14' Premium SPF,S2414,8.69,/each,https://shop.newcanadianslumber.com/p/2x4x14-premium-spf/S2414,https://ik.imagekit.io/toolbx/src-img/187837322557,
Lumber,"2x4x92-5/8"" Select SPF",S249258,3.99,/each,https://shop.newcanadianslumber.com/p/2x4x92-58-select-spf/S249258,https://ik.imagekit.io/toolbx/1571159579338,
Lumber,2x4x12' Premium SPF,S2412,7.28,/each,https://shop.newcanadianslumber.com/p/2x4x12-premium-spf/S2412,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0204.png,
Lumber,"2x4x104-5/8"" Premium SPF",S2410458,4.99,/each,https://shop.newcanadianslumber.com/p/2x4x104-58-premium-spf/S2410458,https://ik.imagekit.io/toolbx/src-img/187837322557,
Lumber,"2x4x116-5/8"" Premium SPF",S2411658,7.49,/each,https://shop.newcanadianslumber.com/p/2x4x116-58-premium-spf/S2411658,https://ik.imagekit.io/toolbx/1571159592375,
Lumber,2x4x16' Premium SPF,S2416,9.99,/each,https://shop.newcanadianslumber.com/p/2x4x16-premium-spf/S2416,https://ik.imagekit.io/toolbx/src-img/187837322557,
Lumber,2x2x8' Premium SPF,S228,3.89,/each,https://shop.newcanadianslumber.com/p/2x2x8-premium-spf/S228,https://ik.imagekit.io/toolbx/p_1606681496890_f18bc6f1-a47f-4f3d-ac01-99e80af90371.jpg,
Lumber,2x6x8' Premium SPF,S268,7.09,/each,https://shop.newcanadianslumber.com/p/2x6x8-premium-spf/S268,https://ik.imagekit.io/toolbx/src-img/131382506884,
Lumber,2x6x10' Premium SPF,S2610,11.09,/each,https://shop.newcanadianslumber.com/p/2x6x10-premium-spf/S2610,https://ik.imagekit.io/toolbx/src-img/131382506884,
Lumber,5/4x6x8' Cedar Deck Boards,C168DB,23.99,/each,https://shop.newcanadianslumber.com/p/54x6x8-cedar-deck-boards/C168DB,https://ik.imagekit.io/toolbx/p_1606681338979_6262cba8-06c4-408e-8edd-bad7a4876277.jpg,
Lumber,1x5x14' Poplar Lumber,POP1514,54.95,/each,https://shop.newcanadianslumber.com/p/1x5x14-poplar-lumber/POP1514,https://ik.imagekit.io/toolbx/p_1657819548068_cb092742-b2ce-4206-9eb8-5dea65dd0812.jpg,
Lumber,"4x8x3/4"" PT Privacy Diagonal Lattice - Custom Order",PL4834PP,134,/each,https://shop.newcanadianslumber.com/p/4x8x34-pt-privacy-diagonal-lattice-custom-order/PL4834PP,https://ik.imagekit.io/toolbx/ecommerce/NCL/PL4834PP.jpg,
Lumber,1x12x16' Barn-Board - One Side Rough/One Smooth,P11216BB,48.99,/each,https://shop.newcanadianslumber.com/p/1x12x16-barn-board-one-side-roughone-smooth/P11216BB,https://ik.imagekit.io/toolbx/ecommerce/NCL/P11216BB.jpeg,
Lumber,Gorman Elite Pine 1x6x8' T&G,P168TG,15.99,/each,https://shop.newcanadianslumber.com/p/gorman-elite-pine-1x6x8-tg/P168TG,https://ik.imagekit.io/toolbx/ecommerce/NCL/P168TG.jpeg,
