category,name,sku,price,unit,url,image
Construction Lumber,2x4x8' Spruce Premium Grade,LSP248P,4.45,/piece,https://peacocklumber.ca/p/2x4x8-spruce-premium-grade/LSP248P,https://ik.imagekit.io/toolbx/src-img/187837322557
Construction Lumber,2x2x8' Spruce Strapping,LSP228,2.90,/piece,https://peacocklumber.ca/p/2x2x8-spruce-strapping/LSP228,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0202.png
Construction Lumber,2x8x8' Spruce D4S (#2 & Better),LSP288,12.65,/piece,https://peacocklumber.ca/p/2x8x8-spruce-d4s-2-better/LSP288,https://ik.imagekit.io/toolbx/src-img/188256261011
Construction Lumber,2x8x16' Spruce D4S (#2 & Better),LSP2816,26.10,/piece,https://peacocklumber.ca/p/2x8x16-spruce-d4s-2-better/LSP2816,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0208.png
Construction Lumber,2x8x10' Spruce D4S (#2 & Better),LSP2810,16.65,/piece,https://peacocklumber.ca/p/2x8x10-spruce-d4s-2-better/LSP2810,https://ik.imagekit.io/toolbx/src-img/188256261011
Construction Lumber,2x6x8' Spruce D4S (#2 & Better) (July Special),LSP268,7.85,/piece,https://peacocklumber.ca/p/2x6x8-spruce-d4s-2-better-july-special/LSP268,https://ik.imagekit.io/toolbx/src-img/131382506884
Construction Lumber,2x8x14' Spruce D4S (#2 & Better),LSP2814,22.00,/piece,https://peacocklumber.ca/p/2x8x14-spruce-d4s-2-better/LSP2814,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0208.png
Construction Lumber,2x6x14' Spruce D4S (#2 & Better),LSP2614,12.55,/piece,https://peacocklumber.ca/p/2x6x14-spruce-d4s-2-better/LSP2614,https://ik.imagekit.io/toolbx/src-img/131382506884
Construction Lumber,2x6x16' Spruce D4S (#2 & Better),LSP2616,15.15,/piece,https://peacocklumber.ca/p/2x6x16-spruce-d4s-2-better/LSP2616,https://toolbx-product-catalog.s3.us-east-1.amazonaws.com/ecommerce/CatalogOPSProject/TLBX/TLBX-01-109-0206.png
Construction Lumber,"2x4x92 5/8"" Spruce D4S E",LSP24925,3.25,/piece,https://peacocklumber.ca/p/2x4x92-58-spruce-d4s-e/LSP24925,https://ik.imagekit.io/toolbx/1571159579338
