sku,name,unit,price,product_link,image
128,"Spruce, 1"" x 2"" x 8 ft",Each,$1.99,https://www.coppsbuildall.com/shop/128/spruce-1-x-2-x-8-ft/,https://www.coppsbuildall.com/img/products/1420.jpg
1312,"Spruce, 1"" x 3"" x 12 ft",Each,$4.65,https://www.coppsbuildall.com/shop/1312/spruce-1-x-3-x-12-ft/,https://www.coppsbuildall.com/img/products/1638-sm.jpg
138,"Spruce, 1"" x 3"" x 8 ft",Each,$3.05,https://www.coppsbuildall.com/shop/138/spruce-1-x-3-x-8-ft/,https://www.coppsbuildall.com/img/products/1702-sm.jpg
1412,"Spruce, 1"" x 4"" x 12 ft",Each,$5.75,https://www.coppsbuildall.com/shop/1412/spruce-1-x-4-x-12-ft/,https://www.coppsbuildall.com/img/products/1764-sm.jpg
1416,"Spruce, 1"" x 4"" x 16 ft",Each,$7.65,https://www.coppsbuildall.com/shop/1416/spruce-1-x-4-x-16-ft/,https://www.coppsbuildall.com/img/products/1767-sm.jpg
148,"Spruce, 1"" x 4"" x 8 ft",Each,$3.85,https://www.coppsbuildall.com/shop/148/spruce-1-x-4-x-8-ft/,https://www.coppsbuildall.com/img/products/1882-sm.jpg
168,"Spruce, 1"" x 6"" x 8 ft",Each,$6.15,https://www.coppsbuildall.com/shop/168/spruce-1-x-6-x-8-ft/,https://www.coppsbuildall.com/img/products/2111.jpg
2212,"Spruce, 2"" x 2"" x 12 ft",Each,$7.95,https://www.coppsbuildall.com/shop/2212/spruce-2-x-2-x-12-ft/,https://www.coppsbuildall.com/img/products/2901-sm.jpg
228,"Spruce, 2"" x 2"" x 8 ft",Each,$3.89,https://www.coppsbuildall.com/shop/228/spruce-2-x-2-x-8-ft/,https://www.coppsbuildall.com/img/products/2952-sm.jpg
238,"Spruce, 2"" x 3"" x 8 ft",Each,$3.69,https://www.coppsbuildall.com/shop/238/spruce-2-x-3-x-8-ft/,https://www.coppsbuildall.com/img/products/3079.jpg
248,"Spruce, Dry, 2"" x 4"" x 8 ft",Each,$4.40,https://www.coppsbuildall.com/shop/248/spruce-dry-2-x-4-x-8-ft/,https://www.coppsbuildall.com/img/products/3293-sm.jpg
2410,"Spruce, Dry, 2"" x 4"" x 10 ft",Each,$5.98,https://www.coppsbuildall.com/shop/2410/spruce-dry-2-x-4-x-10-ft/,https://www.coppsbuildall.com/img/products/3166-sm.jpg
2412,"Spruce, Dry, 2"" x 4"" x 12 ft",Each,$7.28,https://www.coppsbuildall.com/shop/2412/spruce-dry-2-x-4-x-12-ft/,https://www.coppsbuildall.com/img/products/3172-sm.jpg
2414,"Spruce, Dry, 2"" x 4"" x 14 ft",Each,$8.55,https://www.coppsbuildall.com/shop/2414/spruce-dry-2-x-4-x-14-ft/,https://www.coppsbuildall.com/img/products/3177-sm.jpg
