vendor,category,sku,name,unit,price,url,brand,image,scrape_date
Turks Tra Lumber,Lumber & Framing Components,248S,2”x4”x8’ Spruce Construction Lumber,/ Piece,$3.98,https://turkstralumber.com/products/2-x4-x8-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/248S.jpg,2026-01-10 21:40:30.874678
Turks Tra Lumber,Lumber & Framing Components,12SPR,1/2”x4'x8’ Spruce Plywood,/ Sheet,$40.98,https://turkstralumber.com/products/1-2-4-x-8-construction-grade-spruce-plywood-12-5-mm-2,TURKSTRA,https://turkstralumber.com/cdn/shop/files/halfinchspruceply.jpg,2026-01-10 21:40:30.969517
Turks Tra Lumber,Lumber & Framing Components,2410S,2”x4”x10’ Spruce Construction Lumber,/ Piece,$6.00,https://turkstralumber.com/products/2-x4-x10-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x4Spruce.jpg,2026-01-10 21:40:31.076227
Turks Tra Lumber,Lumber & Framing Components,716OSB,7/16”x4’x8’ Oriented Strand Board (OSB),/ Sheet,$13.48,https://turkstralumber.com/products/7-16-4-x-8-orientated-strand-board-osb-engineered-wood-sheeting-11-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/716osbsheet.jpg,2026-01-10 21:40:31.204299
Turks Tra Lumber,Lumber & Framing Components,2412S,2”x4”x12’ Spruce Construction Lumber,/ Piece,$7.20,https://turkstralumber.com/products/2-x4-x12-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x4Spruce_651a57e4-2910-49b7-8713-227ce6a1c776.jpg,2026-01-10 21:40:31.297979
Turks Tra Lumber,Lumber & Framing Components,268S,2”x6”x8’ Spruce Construction Lumber,/ Piece,$6.48,https://turkstralumber.com/products/2-x6-x8-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce_3046715d-418e-4ee1-8eb7-530899fee484.jpg,2026-01-10 21:40:31.392128
Turks Tra Lumber,Lumber & Framing Components,2416S,2”x4”x16’ Spruce Construction Lumber,/ Piece,$9.60,https://turkstralumber.com/products/2-x4-x16-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x4Spruce_a5750b1b-4760-402f-a389-3756389961b2.jpg,2026-01-10 21:40:31.483864
Turks Tra Lumber,Lumber & Framing Components,2612S,2”x6”x12’ Spruce Construction Lumber,/ Piece,$13.28,https://turkstralumber.com/products/2-x6-x12-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce_c7bb9912-3180-46f6-b364-906f892be57a.jpg,2026-01-10 21:40:31.577286
Turks Tra Lumber,Lumber & Framing Components,2610S,2”x6”x10’ Spruce Construction Lumber,/ Piece,$10.98,https://turkstralumber.com/products/2-x6-x10-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce_3e5bc61b-518c-49a2-851c-a3de6ef7ade1.jpg,2026-01-10 21:40:31.705716
Turks Tra Lumber,Lumber & Framing Components,34PGP,"3/4""x4'x8' Paint Grade Plywood",/ Sheet,$65.69,https://turkstralumber.com/products/3-4-in-x4-ft-x8-ft-paint-grade-veneer-core-g2s,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/PGPPlywood_c6be71ab-7826-4d70-a665-9ad313fd86cd.jpg,2026-01-10 21:40:31.812373
Turks Tra Lumber,Lumber & Framing Components,288S,2”x8”x8’ Spruce Construction Lumber,/ Piece,$15.11,https://turkstralumber.com/products/2-x8-x8-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x8Spruce_2ef00bfb-b7ae-43bc-971a-c16e32db2513.jpg,2026-01-10 21:40:31.914588
Turks Tra Lumber,Lumber & Framing Components,2616S,2”x6”x16’ Spruce Construction Lumber,/ Piece,$17.67,https://turkstralumber.com/products/2-x6-x16-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/2x6Spruce_4e2ecb5f-b398-441f-9617-d47a5a63a20d.jpg,2026-01-10 21:40:32.018623
Turks Tra Lumber,Lumber & Framing Components,12PGP,"1/2""x4'x8' Paint Grade Plywood G2S",/ Sheet,$57.89,https://turkstralumber.com/products/1-2-in-x4-ft-x8-ft-paint-grade-veneer-core-g2s,NEOS GORDONPLY,https://turkstralumber.com/cdn/shop/files/PGPPlywood.jpg,2026-01-10 21:40:32.120179
Turks Tra Lumber,Lumber & Framing Components,238S,2”x3”x8’ Spruce Construction Lumber,/ Piece,$3.68,https://turkstralumber.com/products/2-x-3-x-8-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/238sbigger.jpg,2026-01-10 21:40:32.249605
Turks Tra Lumber,Lumber & Framing Components,24SPC,2” X 4” X 92 5/8” Spruce Stud,/ Piece,$3.93,https://turkstralumber.com/products/2-x-4-x-92-5-8-kiln-dried-spruce-construction-lumber,TURKSTRA,https://turkstralumber.com/cdn/shop/files/24__S_6e65536d-2d15-4888-b0d8-904b13b18e49.jpg,2026-01-10 21:40:32.347471
Turks Tra Lumber,Lumber & Framing Components,38SPR,3/8”x4’x8’ Spruce Plywood,/ Sheet,$30.98,https://turkstralumber.com/products/3-8-4-x-8-construction-grade-spruce-plywood-9-5-mm-2,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/SprucePly_71ae2b4e-4343-41d3-b595-752ca871e3a2.jpg,2026-01-10 21:40:32.440902
Turks Tra Lumber,Lumber & Framing Components,34SPR,3/4”x4’x8’ Spruce Plywood,/ Sheet,$63.98,https://turkstralumber.com/products/3-4-4-x-8-construction-grade-spruce-plywood-18-5-mm,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/SprucePly.jpg,2026-01-10 21:41:02.475699
Turks Tra Lumber,Lumber & Framing Components,228S,2”x2”x8’ Spruce Strapping Boards,/ Piece,$3.20,https://turkstralumber.com/products/2-x-2-x-8-spruce-strapping-boards,TURKSTRA,https://turkstralumber.com/cdn/shop/files/228s.jpg,2026-01-10 21:41:02.574034
Turks Tra Lumber,Lumber & Framing Components,34BTP,"3/4""x4'x8' Brown Pressure Treated Plywood",/ Sheet,$89.98,https://turkstralumber.com/products/5-8-x-4-x-8-brown-pressure-treated-plywood,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/58btp.webp,2026-01-10 21:41:02.679830
Turks Tra Lumber,Lumber & Framing Components,12BTP,"1/2""x4'x8' Brown Pressure Treated Plywood",/ Sheet,$60.45,https://turkstralumber.com/products/1-2-x-4-x-8-brown-pressure-treated-plywood,TURKSTRALUMBERLTD,https://turkstralumber.com/cdn/shop/files/34btp_953582ae-d218-420e-a39f-0b00223d3ae1.webp,2026-01-10 21:41:02.769841
